分类	书名	书号	作者	首日总订
女频	女神纪	8114	枕书不想搬家了	450
女频	凤堰	1625	廿一	77
女频	更向人间住几何	145	左上居	537
女频	我是李小九	3874	糯米圆	20
女频	且要此心留墨白	5566	且慢慢	18
女频	岳麓花开	9422	霄禺	0
女频	可知朝暮	203	百茶猫	116
女频	朔朔长歌	4967	沧司	53
武侠	剑序引之红玉图	3788	拾遗生	14
军事	军阀	5578	caler	78
军事	天山南北1933	2361	黎塞留号战列舰	303
军事	兔子家的休伯利安	8466	洽饭手杰克	390
奇幻	孤独冠冕	2637	夜末星晚	28
奇幻	千年神战	2712	苏的微笑	25
奇幻	被选定的骑士	626	想当诗人的段子手	25
奇幻	一刻天国	4436	门扉	140
奇幻	孤星与月	4663	堪影	0
科幻	带个国家去穿越	294	在南方的毛豆	0
科幻	果核启示录	1458	柳色轻侯	51
科幻	群星英杰传	8991	溅血飘香	57
科幻	命运断路	345	黄梦铃	97
科幻	末世救赎之路	1629	妖叔	57
科幻	末世之暴君帝国	738	黑灰色铅笔	23
科幻	涣元纪	424	玖世散仙	33
科幻	灵气回归之荒古之战	5120	糖醋火龙果	28
历史	李唐王朝变轨纪	6678	缘分天注定	46
历史	宋时儿郎	3464	新侨联委员	58
仙侠	明仙	3031	木易	146
仙侠	剑问长情	1465	江湖不识君	2
仙侠	太一	6196	仙侠楼主	36
仙侠	仙侠尘缘录	3576	吕歌	29
仙侠	仙旅鸿途	3626	帝国吃货	278
玄幻	冉生星球	2017	玄极斯坦	63
玄幻	帝炼	4769	范牛的小九	26
玄幻	云阳祖师	250	易灵仙	1102
玄幻	灵剑封魔	2166	星罗棋布	20
玄幻	一个修仙门派的复兴	5755	盛世昌明	25
玄幻	瑞娜世纪	6496	瘦瘦瘦瘦瘦瘦宝	45
玄幻	道岸红尘	423	木瓜炖藕	40
玄幻	问仙箓	7240	沸腾的龙井茶	42
玄幻	狂印天下	4298	四色龙	25
玄幻	天尊之印全传	793	疑流	109
玄幻	天穹崩裂	6439	浮华缥缈	13
玄幻	钢铁神座	277	巨人眼睛	136
玄幻	魔神召唤	2589	寓言故事	18
玄幻	机械王座	3611	思存	154
玄幻	殖神	2240	方茄子	12
玄幻	枫神传之天启之光	5392	木业无忧草	28
玄幻	弹指云罗	5299	令析	21
玄幻	意难平	1243	渐无书	325
玄幻	双鱼玉佩之cosplay系统	1647	某人的黑叔	42
都市	炽瞳	7954	笨两点的小傻	35
都市	贴身暧昧	34	那旮旯来的汉子	0
游戏	无双猎魔人	2222	迷失路之人	103
游戏	独掌江湖	1697	愚者三更	38
二次元	召唤与战争	3357	寡欢的霸巡林客	134
二次元	天空的颜色水的颜色	2884	呆毛有颜	26
